,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,attention,Warning
32,33,voici,here is
33,34,pourrais,could
34,35,affaire,case
35,36,type,type
36,37,leurs,their
37,38,donné,given
38,39,train,train
39,40,corps,body
40,41,endroit,place
41,42,yeux,eyes
42,43,façon,way
43,44,écoute,listen
44,45,dont,whose
45,46,trouve,find
46,47,premier,first
47,48,perdu,lost
48,49,main,hand
49,50,première,first
50,51,côté,side
51,52,pouvoir,power
52,53,vieux,old
53,54,sois,be
54,55,tiens,here
55,56,matin,morning
56,58,enfant,child
57,59,point,point
58,60,venu,came
59,61,suite,after
60,62,venez,come
61,63,devant,in front of
62,64,vers,towards
63,65,minutes,minutes
64,66,demandé,request
65,67,mis,placed
66,68,belle,beautiful
67,69,droit,law
68,70,aimerais,would like to
69,71,aujourd'hui,today
70,72,mari,husband
71,73,cause,cause
72,75,eau,water
73,76,attendez,Wait
74,77,parti,left
75,78,nouvelle,new
76,79,boulot,job
77,80,arrêter,Stop
78,81,dirait,would say
79,82,terre,Earth
80,83,compte,account
81,84,donne,given
82,85,fin,end
83,86,croire,believe
84,87,chérie,sweetheart
85,88,gros,large
86,89,plutôt,rather
87,90,aura,will have
88,91,filles,girls
89,93,bureau,office
